Provincie,Regio,Type,Rondkomen,Eenzaamheid
Sittard_Geleen,Zuid_Limburg,Eenzaam,18.2,59 
Stein,Zuid_Limburg,Eenzaam,15.3,60 
Onderbanken,Zuid_Limburg,Eenzaam,20.9,58
Schinnen,Zuid_Limburg,Eenzaam,12.1,52 
Beek,Zuid_Limburg,Eenzaam,14.5,53
Meerssen,Zuid_Limburg,Eenzaam,14.3,51
Brunssum,Zuid_Limburg,Eenzaam,20.9,64 
Heerlen,Zuid_Limburg,Eenzaam,24.2,68
Nuth,Zuid_Limburg,Eenzaam,9.4,50
Maastricht,Zuid_Limburg,Eenzaam,20.6,61 
Valkenburg aan de Geul,Zuid_Limburg,Eenzaam,15,55 
Voerendaal,Zuid_Limburg,Eenzaam,14.5,58
Landgraaf,Zuid_Limburg,Eenzaam,18.1,60 
Kerkrade,Zuid_Limburg,Eenzaam,24.2,72
Simpelveld,Zuid_Limburg,Eenzaam,15.2,51 
Gulpen-Witten,Zuid_Limburg,Eenzaam,11.1,50 
Vaals,Zuid_Limburg,Eenzaam,17.4,63 
Eijsden-Magraten,Zuid_Limburg,Eenzaam,11.6,50 
Asten,Brabant_Zuid_Oost,Eenzaam,15,49 
Bergeijk,Brabant_Zuid_Oost,Eenzaam,14,42 
Best,Brabant_Zuid_Oost,Eenzaam,12,47 
Bladel,Brabant_Zuid_Oost,Eenzaam,9,44 
Cranendonck,Brabant_Zuid_Oost,Eenzaam,12,51 
Deurne,Brabant_Zuid_Oost,Eenzaam,13,41 
Eersel,Brabant_Zuid_Oost,Eenzaam,13,37 
Geldrop-Mierlo,Brabant_Zuid_Oost,Eenzaam,12,50 
Gemert-Bakel,Brabant_Zuid_Oost,Eenzaam,13,46 
Heeze-Leende,Brabant_Zuid_Oost,Eenzaam,10,45 
Helmond,Brabant_Zuid_Oost,Eenzaam,17,55 
Laarbeek,Brabant_Zuid_Oost,Eenzaam,9,47 
Nuenen,Brabant_Zuid_Oost,Eenzaam,8,45 
Oirschot,Brabant_Zuid_Oost,Eenzaam,13,41 
Reusel-De Mierden,Brabant_Zuid_Oost,Eenzaam,13,40 
Someren,Brabant_Zuid_Oost,Eenzaam,13,41 
Son en Breugel,Brabant_Zuid_Oost,Eenzaam,9,46 
Valkenswaard,Brabant_Zuid_Oost,Eenzaam,10,49 
Veldhoven,Brabant_Zuid_Oost,Eenzaam,12,46 
Waalre,Brabant_Zuid_Oost,Eenzaam,6,48 
Borsele,Zeeland,Eenzaam,20.27,50 
Goes,Zeeland,Eenzaam,23.91,43 
Hulst,Zeeland,Eenzaam,16.16,49 
Kapelle,Zeeland,Eenzaam,15.05,46 
Middelburg,Zeeland,Eenzaam,27.30,57 
Noord-Beveland,Zeeland,Eenzaam,25.10,49 
Reimerswaal,Zeeland,Eenzaam,23.02,52 
Schouwen-Duiveland,Zeeland,Eenzaam,20.89,51 
Sluis,Zeeland,Eenzaam,23.68,58 
Terneuzen,Zeeland,Eenzaam,25.93,62 
Tholen,Zeeland,Eenzaam,19.83,58 
Veere,Zeeland,Eenzaam,14.66,47 
Vlissingen,Zeeland,Eenzaam,23,61 
West,Utrecht,Eenzaam,29,53 
Noordwest,Utrecht,Eenzaam,26,58 
Overvecht,Utrecht,Eenzaam,40,73 
Noordoost,Utrecht,Eenzaam,20,48 
Oost,Utrecht,Eenzaam,21,51 
Binnenstad,Utrecht,Eenzaam,24,53 
Zuid,Utrecht,Eenzaam,21,56 
Zuidwest,Utrecht,Eenzaam,26,62 
Leidsche Rijn,Utrecht,Eenzaam,23,52 
Vleuten-De Meern,Utrecht,Eenzaam,17,48 