Provincie,Regio,Type,Emotioneel_Eenzaam,Eenzaamheid
Sittard_Geleen,Zuid_Limburg,Eenzaam,47,59 
Stein,Zuid_Limburg,Eenzaam,33,60 
Onderbanken,Zuid_Limburg,Eenzaam,32,58
Schinnen,Zuid_Limburg,Eenzaam,28,52 
Beek,Zuid_Limburg,Eenzaam,33,53
Meerssen,Zuid_Limburg,Eenzaam,27,51
Brunssum,Zuid_Limburg,Eenzaam,38,64 
Heerlen,Zuid_Limburg,Eenzaam,40,68
Nuth,Zuid_Limburg,Eenzaam,27,50
Maastricht,Zuid_Limburg,Eenzaam,36,61 
Valkenburg aan de Geul,Zuid_Limburg,Eenzaam,32,55 
Voerendaal,Zuid_Limburg,Eenzaam,32,58
Landgraaf,Zuid_Limburg,Eenzaam,34,60 
Kerkrade,Zuid_Limburg,Eenzaam,41,72
Simpelveld,Zuid_Limburg,Eenzaam,27,51 
Gulpen-Witten,Zuid_Limburg,Eenzaam,29,50 
Vaals,Zuid_Limburg,Eenzaam,35,63 
Eijsden-Magraten,Zuid_Limburg,Eenzaam,29,50 
Asten,Brabant_Zuid_Oost,Eenzaam,28,49 
Bergeijk,Brabant_Zuid_Oost,Eenzaam,22,42 
Best,Brabant_Zuid_Oost,Eenzaam,27,47 
Bladel,Brabant_Zuid_Oost,Eenzaam,27,44 
Cranendonck,Brabant_Zuid_Oost,Eenzaam,32,51 
Deurne,Brabant_Zuid_Oost,Eenzaam,25,41 
Eersel,Brabant_Zuid_Oost,Eenzaam,22,37 
Geldrop-Mierlo,Brabant_Zuid_Oost,Eenzaam,29,50 
Gemert-Bakel,Brabant_Zuid_Oost,Eenzaam,28,46 
Heeze-Leende,Brabant_Zuid_Oost,Eenzaam,25,45 
Helmond,Brabant_Zuid_Oost,Eenzaam,30,55 
Laarbeek,Brabant_Zuid_Oost,Eenzaam,26,47 
Nuenen,Brabant_Zuid_Oost,Eenzaam,28,45 
Oirschot,Brabant_Zuid_Oost,Eenzaam,22,41 
Reusel-De Mierden,Brabant_Zuid_Oost,Eenzaam,24,40 
Someren,Brabant_Zuid_Oost,Eenzaam,23,41 
Son en Breugel,Brabant_Zuid_Oost,Eenzaam,25,46 
Valkenswaard,Brabant_Zuid_Oost,Eenzaam,32,49 
Veldhoven,Brabant_Zuid_Oost,Eenzaam,27,46 
Waalre,Brabant_Zuid_Oost,Eenzaam,29,48 
Borsele,Zeeland,Eenzaam,28,50 
Goes,Zeeland,Eenzaam,26,43 
Hulst,Zeeland,Eenzaam,27,49 
Kapelle,Zeeland,Eenzaam,28,46 
Middelburg,Zeeland,Eenzaam,35,57 
Noord-Beveland,Zeeland,Eenzaam,27,49 
Reimerswaal,Zeeland,Eenzaam,30,52 
Schouwen-Duiveland,Zeeland,Eenzaam,28,51 
Sluis,Zeeland,Eenzaam,33,58 
Terneuzen,Zeeland,Eenzaam,32,62 
Tholen,Zeeland,Eenzaam,34,58 
Veere,Zeeland,Eenzaam,26,47 
Vlissingen,Zeeland,Eenzaam,36,61 
West,Utrecht,Eenzaam,34,53 
Noordwest,Utrecht,Eenzaam,36,58 
Overvecht,Utrecht,Eenzaam,43,73 
Noordoost,Utrecht,Eenzaam,30,48 
Oost,Utrecht,Eenzaam,33,51 
Binnenstad,Utrecht,Eenzaam,34,53 
Zuid,Utrecht,Eenzaam,34,56 
Zuidwest,Utrecht,Eenzaam,38,62 
Leidsche Rijn,Utrecht,Eenzaam,31,52 
Vleuten-De Meern,Utrecht,Eenzaam,28,48 